************************************************
 ***********************************************
           Epsoc_phonon_along_Z
************************************************
************************************************
 Hamiltonian: H = H_k + \lambda * X1 * i sigma_y J^x + X2 * i sigma_x J^y

 ####################################
 #####  Monte Carlo parameter  #####
 ####################################
 nbin  =               5
 measurements in one_bin              2
 warmup  =              10
 meas_interval  =               1
 meas_timerange  =               0
 total_iterations  =              20
 number of mpi_blocks  =               1
 number of cores per block  =               1
 global update is used

####################################
 #######  Physical parameter  #######
####################################
 lattice_dimension =            2
 Lt    =            1000
 dtau  =    0.100000000000000
 Beta  = dtau*Lt =  100.000000000000000
 lambda, el-phonon coupling =    1.000000000000000
 omega   =    1.000000000000000
 M   =    1.000000000000000
 K   =    1.000000000000000
 U_eff = lam^2/omega^2   =    1.000000000000000
 disorder =    0.000000000000000
 filling  =    0.500000000000000
 N_up = N_down  =              64

List of observables, averages and errors
 Description: 
   e_PE = -U/2 * (n_up + n_down)^2 = -U/2*(n_up+n_down) - U*n_up*n_down
#--observables--#
  
Name            Index           Average             Error
BFx_BFy_k          42        0.00063006        0.00102508
BFx_BFy_k          43       -0.00249932        0.00079594
BFx_BFy_k          44       -0.00178497        0.00011740
BFx_BFy_k          45        0.00168743        0.00095372
BFx_BFy_k          46        0.00313743        0.00041021
BFx_BFy_k          47       -0.00349686        0.00060892
BFx_BFy_k          48       -0.00198579        0.00030133
BFx_BFy_k          49       -0.00018654        0.00037642
BFx_BFy_k          50        0.00058047        0.00015011
BFx_BFy_k          51       -0.00169341        0.00014245
BFx_BFy_k          52        0.00030174        0.00050251
BFx_BFy_k          53       -0.00036169        0.00031511
BFx_BFy_k          54       -0.00048274        0.00035306
BFx_BFy_k          55        0.00189843        0.00085222
BFx_BFy_k          56       -0.00007700        0.00031024
BFx_BFy_k          57       -0.00097021        0.00060370
BFx_BFy_k          58        0.00010618        0.00034438
BFx_BFy_k          59       -0.00198128        0.00048183
BFx_BFy_k          60        0.00258614        0.00078326
BFx_BFy_k          61        0.00183192        0.00078626
BFx_BFy_k          62       -0.00085160        0.00034992
BFx_BFy_k          63       -0.00083170        0.00049716
BFx_BFy_k          64       -0.00003732        0.00096809
  
#-----------------------------------------------------------
BFy_BFy             1        0.76004061        0.03482336
BFy_BFy             2       -0.54105965        0.03229322
BFy_BFy             3        0.56023221        0.02989620
BFy_BFy             4       -0.59554249        0.02903558
BFy_BFy             5        0.54159751        0.02975590
BFy_BFy             6       -0.59554249        0.02903558
BFy_BFy             7        0.56023221        0.02989620
BFy_BFy             8       -0.54105965        0.03229322
BFy_BFy             9       -0.55377662        0.02458094
BFy_BFy            10        0.54837768        0.02647530
BFy_BFy            11       -0.56549802        0.02481634
BFy_BFy            12        0.57663077        0.03284253
BFy_BFy            13       -0.55724540        0.02569717
BFy_BFy            14        0.54347954        0.03119271
BFy_BFy            15       -0.55758355        0.02730955
BFy_BFy            16        0.56445881        0.02493754
BFy_BFy            17        0.57761681        0.03146848
BFy_BFy            18       -0.58508129        0.02986785
BFy_BFy            19        0.58533204        0.03377701
BFy_BFy            20       -0.55861148        0.03002947
BFy_BFy            21        0.54788144        0.03025463
BFy_BFy            22       -0.58575080        0.03466602
BFy_BFy            23        0.59213449        0.02982527
BFy_BFy            24       -0.56482937        0.03357146
BFy_BFy            25       -0.58699470        0.02317621
BFy_BFy            26        0.55986214        0.02896794
BFy_BFy            27       -0.53774982        0.02961233
BFy_BFy            28        0.56351190        0.02858976
BFy_BFy            29       -0.53963023        0.03027262
BFy_BFy            30        0.55671128        0.02294393
BFy_BFy            31       -0.56160158        0.02279409
BFy_BFy            32        0.52579766        0.02953579
BFy_BFy            33        0.54819168        0.02542573
BFy_BFy            34       -0.59346423        0.03333842
BFy_BFy            35        0.56328279        0.03256910
BFy_BFy            36       -0.56851380        0.03417995
BFy_BFy            37        0.57729462        0.03974995
BFy_BFy            38       -0.56851380        0.03417995
BFy_BFy            39        0.56328279        0.03256910
BFy_BFy            40       -0.59346423        0.03333842
BFy_BFy            41       -0.58699470        0.02317621
BFy_BFy            42        0.52579766        0.02953579
BFy_BFy            43       -0.56160158        0.02279409
BFy_BFy            44        0.55671128        0.02294393
BFy_BFy            45       -0.53963023        0.03027262
BFy_BFy            46        0.56351190        0.02858976
BFy_BFy            47       -0.53774982        0.02961233
BFy_BFy            48        0.55986214        0.02896794
BFy_BFy            49        0.57761681        0.03146848
BFy_BFy            50       -0.56482937        0.03357146
BFy_BFy            51        0.59213449        0.02982527
BFy_BFy            52       -0.58575080        0.03466602
BFy_BFy            53        0.54788144        0.03025463
BFy_BFy            54       -0.55861148        0.03002947
BFy_BFy            55        0.58533204        0.03377701
BFy_BFy            56       -0.58508129        0.02986785
BFy_BFy            57       -0.55377662        0.02458094
BFy_BFy            58        0.56445881        0.02493754
BFy_BFy            59       -0.55758355        0.02730955
BFy_BFy            60        0.54347954        0.03119271
BFy_BFy            61       -0.55724540        0.02569717
BFy_BFy            62        0.57663077        0.03284253
BFy_BFy            63       -0.56549802        0.02481634
BFy_BFy            64        0.54837768        0.02647530
  
#-----------------------------------------------------------
BFy_BFy_k           1        0.56661890        0.02906229
BFy_BFy_k           2        0.00380495        0.00084784
BFy_BFy_k           3        0.00166540        0.00042270
BFy_BFy_k           4        0.00671387        0.00130228
BFy_BFy_k           5        0.00213872        0.00075982
BFy_BFy_k           6        0.00671387        0.00130228
BFy_BFy_k           7        0.00166540        0.00042270
BFy_BFy_k           8        0.00380495        0.00084784
BFy_BFy_k           9        0.00264166        0.00039387
BFy_BFy_k          10        0.00122750        0.00027677
BFy_BFy_k          11        0.00098302        0.00019890
BFy_BFy_k          12        0.00275569        0.00087918
BFy_BFy_k          13        0.00303159        0.00065195
BFy_BFy_k          14        0.00539127        0.00053715
BFy_BFy_k          15        0.00297410        0.00098595
BFy_BFy_k          16        0.00160410        0.00048619
BFy_BFy_k          17        0.00120062        0.00030746
BFy_BFy_k          18        0.00078713        0.00035773
BFy_BFy_k          19        0.00682849        0.00142926
BFy_BFy_k          20        0.00432289        0.00067170
BFy_BFy_k          21        0.00093141        0.00017589
BFy_BFy_k          22        0.00128590        0.00033553
BFy_BFy_k          23        0.00204748        0.00039745
BFy_BFy_k          24        0.00172092        0.00053157
BFy_BFy_k          25        0.00108643        0.00037028
BFy_BFy_k          26        0.00189169        0.00031905
BFy_BFy_k          27        0.00568326        0.00068357
BFy_BFy_k          28        0.00597580        0.00059472
BFy_BFy_k          29        0.00386848        0.00082761
BFy_BFy_k          30        0.00836984        0.00122388
BFy_BFy_k          31        0.00175043        0.00071098
BFy_BFy_k          32        0.00372737        0.00126519
BFy_BFy_k          33        0.01043704        0.00260194
